code,current_url,name,price,expected_per,expected_dividend_yield,expected_roe,actual_pbr
1301,https://www.nikkei.com/nkd/company/?scode=1301,極洋,3950.0,7.0,2.27,12.6,0.87
1332,https://www.nikkei.com/nkd/company/?scode=1332,ニッスイ,740.5,10.7,2.7,9.9,1.02
1333,https://www.nikkei.com/nkd/company/?scode=1333,マルハニチロ,2650.0,7.2,2.64,10.4,0.72
1375,https://www.nikkei.com/nkd/company/?scode=1375,雪国まいたけ,902.0,297.6,0.22,1.2,3.63
1377,https://www.nikkei.com/nkd/company/?scode=1377,サカタのタネ,4395.0,24.3,1.25,5.8,1.41
1379,https://www.nikkei.com/nkd/company/?scode=1379,ホクト,1820.0,82.3,2.19,1.4,1.15
1407,https://www.nikkei.com/nkd/company/?scode=1407,ウエストホールディングス,3155.0,22.1,1.74,22.0,4.53
1414,https://www.nikkei.com/nkd/company/?scode=1414,ショーボンドホールディングス,5847.0,23.1,2.18,13.6,3.13
1417,https://www.nikkei.com/nkd/company/?scode=1417,ミライト・ワン,1998.5,10.4,3.25,7.3,0.77
1419,https://www.nikkei.com/nkd/company/?scode=1419,タマホーム,3640.0,11.4,5.08,26.4,3.02
1435,https://www.nikkei.com/nkd/company/?scode=1435,Robot Home,204.0,22.9,0.98,9.5,2.17
1515,https://www.nikkei.com/nkd/company/?scode=1515,日鉄鉱業,5380.0,16.2,2.45,4.2,0.67
1518,https://www.nikkei.com/nkd/company/?scode=1518,三井松島ホールディングス,2886.0,3.3,2.77,19.7,0.63
1605,https://www.nikkei.com/nkd/company/?scode=1605,INPEX,2263.5,9.1,3.26,7.5,0.77
1662,https://www.nikkei.com/nkd/company/?scode=1662,石油資源開発,5670.0,9.0,3.52,8.0,0.7
1712,https://www.nikkei.com/nkd/company/?scode=1712,ダイセキ環境ソリューション,1216.0,17.3,0.82,7.9,1.34
1719,https://www.nikkei.com/nkd/company/?scode=1719,安藤ハザマ,1243.0,14.3,4.82,9.7,1.37
1720,https://www.nikkei.com/nkd/company/?scode=1720,東急建設,832.0,21.8,4.32,4.2,0.92
1721,https://www.nikkei.com/nkd/company/?scode=1721,コムシスホールディングス,3189.0,16.6,3.29,6.7,1.13
1726,https://www.nikkei.com/nkd/company/?scode=1726,ビーアールホールディングス,377.0,13.2,3.18,9.5,1.27
1762,https://www.nikkei.com/nkd/company/?scode=1762,高松コンストラクショングループ,2680.0,11.6,2.87,6.3,0.73
1766,https://www.nikkei.com/nkd/company/?scode=1766,東建コーポレーション,8030.0,16.2,3.11,5.8,0.94
1780,https://www.nikkei.com/nkd/company/?scode=1780,ヤマウラ,1242.0,12.1,0.4,11.3,1.31
1801,https://www.nikkei.com/nkd/company/?scode=1801,大成建設,5297.0,22.0,2.45,5.4,1.18
1802,https://www.nikkei.com/nkd/company/?scode=1802,大林組,1366.5,17.8,3.07,5.5,0.95
1803,https://www.nikkei.com/nkd/company/?scode=1803,清水建設,1053.0,15.4,2.56,5.9,0.88
1805,https://www.nikkei.com/nkd/company/?scode=1805,飛島建設,1416.0,10.0,4.23,5.9,0.59
